label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,J_fullscan_scanevent2,H_fullscan_scanevent2,L_fullscan_scanevent2,N_fullscan_scanevent2,I_fullscan_scanevent2,G_fullscan_scanevent2,E_fullscan_scanevent2,F_fullscan_scanevent2,J2_fullscan_scanevent2,K_fullscan_scanevent2,C_fullscan_scanevent2,A_fullscan_scanevent2,B_fullscan_scanevent2,D_fullscan_scanevent2
,646,652,0,877.876648,12.663,0.442866,,C13-label-27,TG(16:0_16:0_18:1),TG(16:0_16:0_18:1),C53H103O6N,0.040,0.278104,850.786926,328281.28,1106227.12,326527.09,26954.06,219333.30,NA,134930.36,145254.70,172799.28,261102.88,NA,161728.36,230772.61,400422.75
,646,653,0,878.878845,12.589,0.077580,,C13-label-28,TG(16:0_16:0_18:1),TG(16:0_16:0_18:1),C53H103O6N,0.034,1.041698,850.786926,0.00,300554.41,0.00,0.00,0.00,NA,0.00,150155.92,0.00,0.00,NA,0.00,150644.41,0.00
,646,654,2,853.797058,12.600,0.574580,,C13-label-3,TG(16:0_16:0_18:1),TG(16:0_16:0_18:1),C53H103O6N,0.023,1.429737,850.786926,23571912.00,34288540.00,32657534.00,51176948.00,33140666.00,NA,18906734.00,40989172.00,21301366.00,34999844.00,NA,37384920.00,36472668.00,37824516.00
,646,655,0,884.901184,12.644,0.077711,,C13-label-34,TG(16:0_16:0_18:1),TG(16:0_16:0_18:1),C53H103O6N,0.021,1.517430,850.786926,0.00,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00,169617.86,NA,0.00,0.00,0.00
,646,656,0,885.901733,12.578,0.067879,,C13-label-35,TG(16:0_16:0_18:1),TG(16:0_16:0_18:1),C53H103O6N,0.045,1.653503,850.786926,0.00,0.00,0.00,0.00,0.00,NA,111435.04,0.00,0.00,0.00,NA,0.00,0.00,0.00
,646,657,0,854.800354,12.593,0.469238,,C13-label-4,TG(16:0_16:0_18:1),TG(16:0_16:0_18:1),C53H103O6N,0.030,1.356655,850.786926,4989347.50,8266929.50,10667469.00,20096306.00,11048491.00,NA,3656983.75,15522383.00,7315341.50,9711588.00,NA,11825649.00,16590229.00,11277919.00
,646,658,1,855.803711,12.602,0.761110,,C13-label-5,TG(16:0_16:0_18:1),TG(16:0_16:0_18:1),C53H103O6N,0.021,1.355065,850.786926,1520399.62,1054261.38,3218957.25,6429676.50,3317459.25,NA,1451986.00,4919916.50,1878454.00,1760125.88,NA,1390404.12,5598597.50,3995884.75
,646,659,2,856.806946,12.612,0.720012,,C13-label-6,TG(16:0_16:0_18:1),TG(16:0_16:0_18:1),C53H103O6N,0.011,1.211007,850.786926,414963.09,1658066.38,1412227.00,2993826.25,928338.19,NA,414809.03,1323530.62,460620.22,2041943.62,NA,1002187.19,2824142.75,1984380.38
,646,660,1,857.810059,12.644,0.676071,,C13-label-7,TG(16:0_16:0_18:1),TG(16:0_16:0_18:1),C53H103O6N,0.021,0.924981,850.786926,171618.08,173724.73,436482.62,1163093.25,268280.97,NA,105987.38,765911.81,329929.09,28346.60,NA,314760.03,1188134.62,645421.44
,661,661,10,872.771301,11.734,0.794200,[M+H]+,C12 PARENT,TG(16:0_16:0_20:4),TG(16:0_16:0_20:4),C55H101O6N,0.091,1.328721,872.771301,86347800.00,118231576.00,133370176.00,161092032.00,124197448.00,NA,88459328.00,125580480.00,152211040.00,159704512.00,NA,168722704.00,167846064.00,183328720.00
