isotopeLabel,compound,formula,M,H,L,N,I,G,E,F,J,K,C,A,B,D
C13-label-1,TG(16:0_16:1_22:6),C57H99O6N,151304960,276150016,94451872,151042816,85155760,NA,82316224,254448208,183312512,251423408,NA,254358032,234355200,231784912
C13-label-14,TG(16:0_16:1_22:6),C57H99O6N,0,0,75122.11,0,0,NA,0,0,0,0,NA,0,0,0
C13-label-16,TG(16:0_16:1_22:6),C57H99O6N,519179.88,161153.12,115863.38,312773.69,90826.34,NA,420419.03,294976,595988.94,226170.67,NA,471837.47,289593.84,496789.38
C13-label-17,TG(16:0_16:1_22:6),C57H99O6N,1510186.5,1590996.88,464042.84,137354.67,316685.91,NA,1462841.38,1429979,1879283,1482754.12,NA,2510211,4065900.75,2270227.75
C13-label-18,TG(16:0_16:1_22:6),C57H99O6N,16032541,22247918,5121387.5,8125518.5,7219772,NA,17680574,20455490,25638282,22731558,NA,34129696,41451096,30161042
C13-label-19,TG(16:0_16:1_22:6),C57H99O6N,7071530,9407413,2278062,3312503.25,2633971.25,NA,8578824,9784639,11297116,11202560,NA,15422751,18856938,13404481
C13-label-2,TG(16:0_16:1_22:6),C57H99O6N,34929020,58185452,13908835,21074122,0,NA,22667162,44607408,42249388,40105172,NA,47494548,76378024,361163.34
C13-label-21,TG(16:0_16:1_22:6),C57H99O6N,1471982.38,0,0,755105.31,0,NA,1297843.38,0,0,0,NA,0,0,0
C13-label-23,TG(16:0_16:1_22:6),C57H99O6N,68676.15,257579,0,0,103863.66,NA,64838.89,0,125900.16,0,NA,0,0,0
C13-label-3,TG(16:0_16:1_22:6),C57H99O6N,13892909,20070818,0,8880671,5645909.5,NA,8195616.5,0,14659349,0,NA,0,17750046,0
C13-label-4,TG(16:0_16:1_22:6),C57H99O6N,5220201.5,7103209.5,0,4509772,0,NA,3124907,6487598.5,5211734,4805528.5,NA,5315631.5,11107584,280177
C13-label-5,TG(16:0_16:1_22:6),C57H99O6N,1778615.5,2748853.25,825882.81,1494315.5,1523688,NA,755407.25,2476388.75,1805968,2042817,NA,2047003.38,2603939.5,2378222.25
C13-label-6,TG(16:0_16:1_22:6),C57H99O6N,560049.38,276745.72,183799.45,574496.88,664098.69,NA,286836.16,1117553.75,418120.34,756053.31,NA,1019376.75,1136395.5,937777.19
C13-label-7,TG(16:0_16:1_22:6),C57H99O6N,98194.81,389563.84,268710.5,157837.42,97280.95,NA,0,185178.8,129092.06,221608.14,NA,293628.84,870162.94,224082.62
C13-label-8,TG(16:0_16:1_22:6),C57H99O6N,0,161744.86,36327.85,0,71771.39,NA,0,0,0,0,NA,281580,386226.59,99437.35
C12 PARENT,TG(16:0_17:1_18:1),C54H103O6N,199014704,415108832,115899520,176214512,115201896,NA,51495360,338728704,109102408,154013280,NA,147386416,168026800,144927152
C13-label-1,TG(16:0_17:1_18:1),C54H103O6N,123651752,255689168,68446856,109883168,69552088,NA,33512976,207129984,67123096,94073640,NA,94543048,108004776,90724232
C13-label-17,TG(16:0_17:1_18:1),C54H103O6N,135687.55,160686.38,73764.82,294177.22,115910.38,NA,181789.45,487391.91,337800,364768.91,NA,613604.69,531621.75,548400.69
C13-label-2,TG(16:0_17:1_18:1),C54H103O6N,39998780,85954656,24959526,38175348,23727862,NA,11041527,70977448,22175494,33880748,NA,32068234,38333532,33975316
C13-label-20,TG(16:0_17:1_18:1),C54H103O6N,279796.44,346716.97,178406.27,348483.28,334300.34,NA,125865.19,573666.94,465328.72,487323,NA,783339.56,961603.5,719392.44
C13-label-3,TG(16:0_17:1_18:1),C54H103O6N,8385521.5,17056316,5306438.5,7820842,5344864.5,NA,2341599.25,16487791,4736729.5,7990898,NA,7945298.5,10461060,7911682.5
C13-label-30,TG(16:0_17:1_18:1),C54H103O6N,0,0,0,0,0,NA,0,0,0,44270.73,NA,0,0,77326.88
C13-label-4,TG(16:0_17:1_18:1),C54H103O6N,1931402,3957920,1523084,2238687.25,1227411.75,NA,537164.19,4039265.25,1078761.62,1547462.62,NA,2009924,2913867.25,2498239.25
C13-label-5,TG(16:0_17:1_18:1),C54H103O6N,417739.75,907928.75,267255.97,659013.94,282373.09,NA,217495.73,730588.94,379909.25,252904.19,NA,602656.69,936430.94,599897.81
