Time difference of 6.203875 hours
reaction #54; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
net flux v75-v73; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinF
reaction #60; stage LB; binary index 2; optim.step 1; tracer 13ChpAAc
reaction #83; stage LB; binary index 2; optim.step 1; tracer 13ChpAAb
reaction #10; stage LB; binary index 2; optim.step 1; tracer 13ChpAAc
reaction #12; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinI
reaction #65; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #89; stage LB; binary index 2; optim.step 1; tracer 13ChpAAb
reaction #92; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinJ
reaction #8; stage LB; binary index 2; optim.step 1; tracer 13ChpAAd
reaction #79; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinI
reaction #19; stage LB; binary index 2; optim.step 1; tracer 13ChpAAc
reaction #86; stage LB; binary index 2; optim.step 1; tracer 13ChpAAb
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #21; stage UB; binary index 7; optim.step 6; tracer 13ChpAAc
reaction #56; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #52; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
net flux v87-v89; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinG
reaction #23; stage LB; binary index 1; optim.step 1; tracer 13CLinoKinI
reaction #73; stage LB; binary index 2; optim.step 1; tracer 13ChpAAb
reaction #70; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
net flux v5-v6; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinG
reaction #66; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinI
reaction #27; stage LB; binary index 2; optim.step 1; tracer 13ChpAAb
reaction #5; stage UB; binary index 7; optim.step 4; tracer 13ChpAAb
sum of fluxes v65+v66+v67+v68+v69+v70; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinA
reaction #54; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
sum of fluxes v55+v56+v57+v58+v59+v60+v61; stage LB; binary index 2; optim.step 1; tracer 13CHB
net flux v75-v73; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinG
reaction #60; stage LB; binary index 2; optim.step 1; tracer 13ChpAAd
reaction #83; stage LB; binary index 2; optim.step 1; tracer 13ChpAAc
reaction #10; stage LB; binary index 2; optim.step 1; tracer 13ChpAAd
reaction #12; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinJ
reaction #65; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #89; stage LB; binary index 2; optim.step 1; tracer 13ChpAAc
reaction #92; stage LB; binary index 2; optim.step 1; tracer 13ChpAAb
reaction #79; stage LB; binary index 1; optim.step 5; tracer 13CLinoKinJ
reaction #8; stage LB; binary index 2; optim.step 1; tracer 13ChpAAe
reaction #19; stage LB; binary index 2; optim.step 1; tracer 13ChpAAd
reaction #86; stage LB; binary index 2; optim.step 1; tracer 13ChpAAc
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #21; stage UB; binary index 7; optim.step 6; tracer 13ChpAAd
reaction #56; stage UB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #52; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
net flux v87-v89; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinH
reaction #73; stage LB; binary index 2; optim.step 1; tracer 13ChpAAc
reaction #23; stage LB; binary index 1; optim.step 1; tracer 13CLinoKinJ
reaction #70; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
net flux v5-v6; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinH
reaction #66; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinJ
reaction #27; stage LB; binary index 2; optim.step 1; tracer 13ChpAAc
reaction #5; stage UB; binary index 7; optim.step 4; tracer 13ChpAAc
sum of fluxes v65+v66+v67+v68+v69+v70; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinB
reaction #54; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
net flux v75-v73; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinH
sum of fluxes v55+v56+v57+v58+v59+v60+v61; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinA
reaction #60; stage LB; binary index 2; optim.step 1; tracer 13ChpAAe
reaction #83; stage LB; binary index 2; optim.step 1; tracer 13ChpAAd
reaction #10; stage LB; binary index 2; optim.step 1; tracer 13ChpAAe
reaction #65; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #12; stage LB; binary index 1; optim.step 5; tracer 13ChpAAb
reaction #89; stage LB; binary index 2; optim.step 1; tracer 13ChpAAd
reaction #92; stage LB; binary index 2; optim.step 1; tracer 13ChpAAc
reaction #79; stage LB; binary index 1; optim.step 5; tracer 13ChpAAb
reaction #8; stage LB; binary index 2; optim.step 1; tracer 13ChpAAf
reaction #19; stage LB; binary index 2; optim.step 1; tracer 13ChpAAe
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #86; stage LB; binary index 2; optim.step 1; tracer 13ChpAAd
reaction #21; stage UB; binary index 7; optim.step 6; tracer 13ChpAAe
reaction #56; stage UB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #52; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
net flux v87-v89; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinI
reaction #73; stage LB; binary index 2; optim.step 1; tracer 13ChpAAd
reaction #23; stage LB; binary index 1; optim.step 1; tracer 13ChpAAb
reaction #70; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
net flux v5-v6; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinI
reaction #66; stage LB; binary index 2; optim.step 1; tracer 13ChpAAb
reaction #27; stage LB; binary index 2; optim.step 1; tracer 13ChpAAd
sum of fluxes v65+v66+v67+v68+v69+v70; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinC
reaction #5; stage UB; binary index 7; optim.step 4; tracer 13ChpAAd
reaction #54; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
net flux v75-v73; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinI
sum of fluxes v55+v56+v57+v58+v59+v60+v61; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinB
reaction #60; stage LB; binary index 2; optim.step 1; tracer 13ChpAAf
reaction #10; stage LB; binary index 2; optim.step 1; tracer 13ChpAAf
reaction #65; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #83; stage LB; binary index 2; optim.step 1; tracer 13ChpAAe
reaction #12; stage LB; binary index 1; optim.step 5; tracer 13ChpAAc
reaction #89; stage LB; binary index 2; optim.step 1; tracer 13ChpAAe
reaction #79; stage LB; binary index 1; optim.step 5; tracer 13ChpAAc
reaction #92; stage LB; binary index 2; optim.step 1; tracer 13ChpAAd
reaction #8; stage LB; binary index 2; optim.step 1; tracer 13ChpAAj
reaction #86; stage LB; binary index 2; optim.step 1; tracer 13ChpAAe
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #19; stage LB; binary index 2; optim.step 1; tracer 13ChpAAf
reaction #21; stage UB; binary index 7; optim.step 6; tracer 13ChpAAf
reaction #56; stage UB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #52; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
net flux v87-v89; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinJ
reaction #73; stage LB; binary index 2; optim.step 1; tracer 13ChpAAe
reaction #70; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
net flux v5-v6; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinJ
reaction #23; stage LB; binary index 1; optim.step 1; tracer 13ChpAAc
reaction #66; stage LB; binary index 2; optim.step 1; tracer 13ChpAAc
reaction #27; stage LB; binary index 2; optim.step 1; tracer 13ChpAAe
sum of fluxes v65+v66+v67+v68+v69+v70; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinD
reaction #5; stage UB; binary index 7; optim.step 4; tracer 13ChpAAe
reaction #54; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
net flux v75-v73; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinJ
reaction #60; stage LB; binary index 2; optim.step 1; tracer 13ChpAAj
sum of fluxes v55+v56+v57+v58+v59+v60+v61; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinC
reaction #65; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #83; stage LB; binary index 2; optim.step 1; tracer 13ChpAAf
reaction #10; stage LB; binary index 2; optim.step 1; tracer 13ChpAAj
reaction #12; stage LB; binary index 1; optim.step 5; tracer 13ChpAAd
reaction #89; stage LB; binary index 2; optim.step 1; tracer 13ChpAAf
reaction #79; stage LB; binary index 1; optim.step 5; tracer 13ChpAAd
reaction #92; stage LB; binary index 2; optim.step 1; tracer 13ChpAAe
reaction #86; stage LB; binary index 2; optim.step 1; tracer 13ChpAAf
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
reaction #8; stage LB; binary index 2; optim.step 1; tracer 13ChpAAk
reaction #19; stage LB; binary index 2; optim.step 1; tracer 13ChpAAj
reaction #21; stage UB; binary index 7; optim.step 6; tracer 13ChpAAj
reaction #56; stage UB; binary index 1; optim.step 1; tracer 13ChpAAd
reaction #52; stage UB; binary index 1; optim.step 1; tracer 13ChpAAj
reaction #58; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
net flux v87-v89; stage LB; binary index 2; optim.step 1; tracer 13ChpAAb
reaction #73; stage LB; binary index 2; optim.step 1; tracer 13ChpAAf
reaction #70; stage UB; binary index 1; optim.step 1; tracer 13ChpAAe
reaction #23; stage LB; binary index 1; optim.step 1; tracer 13ChpAAd
net flux v5-v6; stage LB; binary index 2; optim.step 1; tracer 13ChpAAb
reaction #66; stage LB; binary index 2; optim.step 1; tracer 13ChpAAd
reaction #27; stage LB; binary index 2; optim.step 1; tracer 13ChpAAf
sum of fluxes v65+v66+v67+v68+v69+v70; stage LB; binary index 2; optim.step 1; tracer 13CLinoKinE
reaction #5; stage UB; binary index 7; optim.step 4; tracer 13ChpAAf
reaction #54; stage UB; binary index 1; optim.step 1; tracer 13ChpAAf
net flux v75-v73; stage LB; binary index 2; optim.step 1; tracer 13ChpAAb
