Time difference of 11.69235 hours
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAc
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13ChpAAj
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAa
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13ChpAAf
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13ChpAAe
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13ChpSCFAb
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAa
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAb
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAb
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpSCFAc
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAc
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAa
reaction #61; stage UB; binary index 8; optim.step 2; tracer 13CGlc
reaction #13; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAd
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13ChpAAk
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13ChpSCFAa
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13ChpAAl
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAb
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAb
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13ChpAAk
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAa
reaction #84; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAd
reaction #54; stage UB; binary index 8; optim.step 1; tracer 13ChpAAk
reaction #52; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAb
reaction #73; stage LB; binary index 8; optim.step 5; tracer 13ChpAAj
reaction #56; stage UB; binary index 8; optim.step 1; tracer 13ChpAAf
reaction #23; stage LB; binary index 7; optim.step 3; tracer 13ChpSCFAc
reaction #28; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAb
reaction #65; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAc
reaction #9; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAc
reaction #11; stage LB; binary index 1; optim.step 5; tracer 13ChpSCFAd
reaction #70; stage UB; binary index 8; optim.step 1; tracer 13ChpSCFAd
reaction #81; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAa
reaction #63; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAb
reaction #13; stage UB; binary index 1; optim.step 2; tracer 13CGlc
reaction #91; stage UB; binary index 1; optim.step 1; tracer 13ChpAAl
reaction #21; stage LB; binary index 8; optim.step 2; tracer 13ChpSCFAb
reaction #87; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAa
reaction #61; stage UB; binary index 8; optim.step 2; tracer 13CLac
reaction #5; stage LB; binary index 7; optim.step 4; tracer 13ChpSCFAa
reaction #93; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAc
reaction #20; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAc
reaction #58; stage UB; binary index 8; optim.step 1; tracer 13ChpAAl
reaction #84; stage UB; binary index 1; optim.step 2; tracer 13CGlc
reaction #67; stage UB; binary index 1; optim.step 1; tracer 13ChpSCFAb
